municipality_id,municipality_name,municipality_slug,official_psgc_code,centroid_latitude,centroid_longitude,label_latitude,label_longitude
MADIA-MUN-CAR,Caramoan,caramoan,0501711000,13.784157,123.830625,13.784157,123.830625
MADIA-MUN-GAR,Garchitorena,garchitorena,0501714000,13.845545,123.643756,13.845545,123.643756
MADIA-MUN-GOA,Goa,goa,0501715000,13.729462,123.432328,13.729462,123.432328
MADIA-MUN-LAG,Lagonoy,lagonoy,0501717000,13.821012,123.515503,13.821012,123.515503
MADIA-MUN-PRE,Presentacion (Parubcan),presentacion,0501729000,13.746482,123.725319,13.746482,123.725319
MADIA-MUN-SAG,Sagñay,sagnay,0501731000,13.561492,123.516907,13.561492,123.516907
MADIA-MUN-SJO,San Jose,san-jose,0501733000,13.685663,123.533459,13.685663,123.533459
MADIA-MUN-SIR,Siruma,siruma,0501735000,14.00994,123.296437,14.00994,123.296437
MADIA-MUN-TIG,Tigaon,tigaon,0501736000,13.625167,123.467229,13.625167,123.467229
MADIA-MUN-TIN,Tinambac,tinambac,0501737000,13.865768,123.359436,13.865768,123.359436
